Trial 1 Timestamp,Trial 1 Force,Trial 2 Timestamp,Trial 2 Force,Trial 3 Timestamp,Trial 3 Force
28.565486669540405,-2.62,27.779096841812134,-3.66,30.017786026000977,-3.83
29.87875533103943,5.07,29.068764448165894,14.0,31.359424352645874,5.29
31.25508761405945,13.47,30.44917058944702,12.68,32.735519886016846,14.7
32.631081104278564,16.14,31.825588703155518,10.42,34.115501165390015,11.05
34.01184105873108,13.06,33.20111584663391,8.13,35.491517305374146,13.73
35.387357234954834,9.97,34.57792091369629,9.71,36.8683807849884,14.12
36.76387429237366,12.71,35.95813822746277,11.22,38.24829912185669,15.66
38.14434051513672,14.38,37.33397459983826,12.42,39.624940156936646,15.13
39.52053737640381,14.05,38.71000814437866,14.98,41.004443645477295,17.12
40.8964524269104,15.37,40.09040021896362,13.22,42.38100218772888,14.45
42.276546001434326,13.13,41.46629786491394,12.44,43.75688290596008,14.1
43.65254354476929,14.8,42.84261202812195,13.55,45.13764142990112,14.8
45.02854251861572,15.68,44.22288107872009,13.74,46.51335573196411,13.77
46.409547567367554,15.92,45.59907793998718,12.08,47.89011073112488,13.27
47.78515005111694,15.94,46.975197076797485,14.4,49.26986050605774,16.33
