Trial 1 Timestamp,Trial 1 Force,Trial 2 Timestamp,Trial 2 Force,Trial 3 Timestamp,Trial 3 Force
47.1374785900116,11.96,112.14918518066406,5.36,125.67535042762756,9.7
48.0595338344574,11.72,112.65529441833496,5.94,126.17774057388306,10.18
49.894169092178345,13.14,113.15728950500488,5.71,126.67803740501404,8.3
51.72893762588501,12.07,113.66330456733704,5.62,127.19284963607788,8.16
52.65103077888489,11.7,114.16428923606873,10.57,127.6953136920929,6.41
54.48613953590393,14.56,114.66502046585083,10.24,128.20639610290527,8.16
55.4031548500061,14.15,115.17393374443054,7.42,128.71341156959534,6.0
57.242109298706055,13.68,115.67402386665344,8.39,129.228374004364,6.76
59.07710862159729,8.02,116.17738962173462,8.1,129.73241138458252,5.46
59.99421453475952,8.0,116.68638896942139,8.56,130.24040269851685,5.62
61.83413076400757,8.59,117.18838334083557,9.58,130.75450730323792,5.3
63.66811656951904,9.28,117.70185351371765,9.39,131.26818537712097,11.13
64.5862181186676,9.22,118.21080660820007,12.03,131.78196907043457,8.34
66.42522549629211,10.6,118.71223425865173,11.67,132.2949149608612,9.55
67.34191393852234,10.2,119.22460961341858,14.02,132.80041074752808,11.06
69.17755007743835,8.37,119.72496223449707,14.71,133.31354022026062,12.51
71.0161702632904,11.44,120.2376000881195,14.45,133.81515431404114,8.84
71.93359684944153,11.03,120.75236201286316,12.8,134.31707334518433,15.41
73.76829528808594,10.69,121.26328158378601,12.19,134.81749486923218,14.51
74.68629455566406,10.4,121.77850675582886,11.9,135.33299446105957,15.63
76.52536273002625,11.88,122.29326391220093,10.35,135.84698605537415,15.0
78.35989737510681,9.63,122.80613803863525,10.01,136.35733342170715,15.56
79.2779061794281,9.58,123.30868577957153,10.13,136.85833883285522,15.07
81.1165521144867,12.86,123.82369256019592,8.86,137.37303495407104,12.99
82.95149159431458,8.65,124.33486032485962,11.72,137.88721704483032,12.46
83.86885380744934,8.55,124.83800292015076,15.43,138.39713287353516,10.61
85.7077522277832,9.37,125.3509693145752,12.66,138.89812636375427,10.36
86.62603187561035,9.2,125.86233925819397,10.12,139.41120839118958,8.33
88.46445107460022,6.48,126.37204217910767,8.79,139.91192388534546,11.55
90.30001831054688,6.98,126.88756275177002,9.37,140.4263265132904,11.83
91.21745586395264,6.84,128.60904836654663,10.57,140.93985676765442,12.04
93.05597472190857,6.08,130.44434571266174,8.89,141.44153022766113,8.84
94.89059686660767,7.41,132.282616853714,9.75,141.9546251296997,8.77
95.80857682228088,7.14,134.1180202960968,8.63,142.45867609977722,8.84
97.64715385437012,5.41,135.9567220211029,11.02,142.9727714061737,8.94
