Trial 1 Timestamp,Trial 1 Force,Trial 2 Timestamp,Trial 2 Force,Trial 3 Timestamp,Trial 3 Force
49.80104613304138,16.26,42.79818773269653,17.31,47.11353421211243,16.54
52.55783677101135,18.08,45.55374813079834,18.39,49.86627769470215,18.05
55.31010031700134,18.34,48.40059232711792,18.55,52.62273716926575,19.4
58.066442251205444,19.57,51.247138023376465,18.56,55.37968325614929,19.21
60.8188362121582,19.33,54.0942599773407,18.12,58.22651648521423,18.87
63.576035499572754,18.71,56.84622049331665,18.82,60.97831916809082,18.22
66.332439661026,17.88,59.60266137123108,18.13,63.735241651535034,18.41
69.08424782752991,18.43,62.35884094238281,13.95,66.58128786087036,18.04
71.93120455741882,19.26,65.11195778846741,17.43,69.33788061141968,17.98
74.68748950958252,18.97,67.86810064315796,17.89,72.0944139957428,17.74
77.44439268112183,18.27,70.62467646598816,17.88,74.94144654273987,17.38
80.19633531570435,18.68,73.37709212303162,17.92,77.69355797767639,17.56
82.9525887966156,18.03,76.13336849212646,18.29,80.45023727416992,17.47
85.70944952964783,17.83,78.889897108078,17.51,83.206378698349,17.3
88.46188259124756,17.38,81.64189386367798,16.62,86.05292201042175,16.61
91.21855783462524,17.54,84.3988208770752,16.75,88.80909419059753,16.49
93.97467994689941,18.09,87.15548324584961,17.56,91.56195020675659,16.8
96.72694635391235,18.06,89.9075813293457,18.01,94.31793785095215,17.51
99.48320960998535,18.99,92.66421008110046,18.41,97.0748348236084,17.66
102.23546528816223,18.33,95.42026972770691,17.1,99.83093404769897,17.29
104.99260544776917,20.51,98.17220711708069,19.49,102.5840654373169,17.71
107.74888801574707,19.99,100.92971420288086,18.78,105.33999609947205,17.3
110.59591913223267,19.52,103.68637919425964,18.46,108.09658074378967,17.09
113.34793949127197,18.64,106.43796181678772,17.4,110.85342168807983,17.23
116.10480213165283,19.02,109.19529366493225,17.9,113.60618662834167,17.12
118.86138725280762,19.11,111.95190906524658,17.63,116.3621666431427,17.55
121.70717215538025,20.0,114.70378422737122,18.2,119.2086672782898,17.85
124.46378469467163,19.54,117.46057939529419,17.9,121.96490907669067,17.48
127.21651411056519,18.61,120.21668577194214,17.31,124.72128963470459,16.13
129.9729130268097,16.85,122.96900200843811,16.29,127.5680000782013,16.23
132.8190324306488,17.79,125.72520136833191,15.8,130.32479310035706,15.02
135.66573762893677,17.1,128.48215746879578,16.01,133.07679200172424,13.62
138.4223713874817,13.41,131.2342565059662,11.15,135.83361506462097,8.12
141.2688307762146,12.59,133.99093198776245,9.5,138.5895676612854,6.69
144.02086925506592,12.88,136.74729990959167,7.62,141.43680095672607,5.11
