Trial 1 Timestamp,Trial 1 Force,Trial 2 Timestamp,Trial 2 Force,Trial 3 Timestamp,Trial 3 Force
99.57535815238953,3.15,94.2414972782135,5.65,88.38338851928711,4.97
100.49313020706177,2.92,94.74902033805847,6.36,88.89151549339294,4.61
102.33233547210693,3.27,95.25502800941467,5.54,89.40648436546326,4.27
104.1672592163086,3.27,95.76102447509766,5.36,89.91004157066345,3.93
105.08407711982727,3.06,96.26502060890198,4.99,90.42375540733337,4.21
106.92357110977173,3.62,96.77253437042236,4.82,90.92754697799683,4.17
107.840989112854,3.42,97.28344678878784,4.81,91.43669986724854,4.18
109.67577505111694,3.72,97.78554773330688,4.5,91.93779635429382,4.3
111.51447367668152,3.57,98.2914571762085,4.17,92.44492888450623,5.37
112.43192148208618,3.39,98.8061032295227,4.54,92.94982409477234,5.93
114.26682114601135,3.56,99.31821537017822,4.25,93.45439386367798,5.13
116.10595440864563,3.62,99.81925511360168,4.12,93.95522284507751,4.37
117.02369737625122,3.49,100.32125401496887,4.08,94.45670580863953,4.1
118.858726978302,3.9,100.83237481117249,4.06,94.96470022201538,5.31
119.77996397018433,3.71,101.3471462726593,4.34,95.47163820266724,5.76
121.61503052711487,3.68,101.8611364364624,4.01,95.97562098503113,4.09
123.45404195785522,4.17,102.36753153800964,3.88,96.49112796783447,4.05
124.37204384803772,3.93,102.88226366043091,3.91,96.99809122085571,3.77
126.20705127716064,4.49,103.38628101348877,3.85,97.50462126731873,3.7
127.12402606010437,4.35,103.89080905914307,3.94,98.00661039352417,3.8
128.9628918170929,3.99,104.39371705055237,3.6,98.52097463607788,3.7
130.79773712158203,4.02,104.90128540992737,3.52,99.03653287887573,3.73
131.71575593948364,3.89,105.40538763999939,2.62,99.54390907287598,3.61
133.55464839935303,4.56,105.92082333564758,2.37,100.04617404937744,3.74
135.38968992233276,5.2,106.42661929130554,6.38,100.55799865722656,3.7
136.30740118026733,5.0,106.94160747528076,6.3,101.06267547607422,3.84
138.14570927619934,4.68,107.45630168914795,7.41,101.5646858215332,3.7
139.06291007995605,4.54,107.95945930480957,10.14,102.0729444026947,2.85
140.89837265014648,4.47,108.4614610671997,8.92,102.57711791992188,3.25
142.73703980445862,4.1,108.9744758605957,11.93,103.0830066204071,3.31
143.654780626297,3.95,110.69551372528076,16.58,103.58527946472168,3.8
145.49330687522888,4.11,112.53009748458862,20.42,104.08828115463257,3.57
147.32910132408142,4.81,114.36891889572144,22.97,104.59194946289062,3.55
148.24640369415283,4.69,116.20369935035706,7.02,105.09719014167786,3.81
150.08540415763855,6.2,118.04306125640869,5.07,105.5984218120575,4.19
