Printer,Texture,Test_Type,Comparison,Raw_Avg_Distance,Std_Deviation
B,4,T,3 vs 4,0.00020022,0.00010823
B,4,T,3 vs 5,0.00012907,0.00007669
B,4,T,4 vs 1,0.00017619,0.00037198
B,4,T,4 vs 2,0.00016823,0.00010108
B,4,T,4 vs 3,0.00015867,0.00008184
B,4,T,4 vs 5,0.00009497,0.00007337
B,4,T,5 vs 1,0.00012855,0.00009212
B,4,T,5 vs 2,0.00013887,0.00007769
B,4,T,5 vs 3,0.00014325,0.00007431
B,4,T,5 vs 4,0.00014217,0.00006284
E,2,T,1 vs 2,0.00017078,0.00011017
E,2,T,1 vs 3,0.00014700,0.00010985
E,2,T,1 vs 4,0.00019931,0.00015450
E,2,T,1 vs 5,0.00016596,0.00008516
E,2,T,2 vs 1,0.00020213,0.00027969
E,2,T,2 vs 3,0.00015185,0.00008342
E,2,T,2 vs 4,0.00047361,0.00063957
E,2,T,2 vs 5,0.00020186,0.00011689
E,2,T,3 vs 1,0.00016298,0.00008329
E,2,T,3 vs 2,0.00017465,0.00010601
E,2,T,3 vs 4,0.00019448,0.00016463
E,2,T,3 vs 5,0.00019052,0.00009302
E,2,T,4 vs 1,0.00051512,0.00036442
E,2,T,4 vs 2,0.00055022,0.00039730
E,2,T,4 vs 3,0.00046978,0.00031295
E,2,T,4 vs 5,0.00057690,0.00041791
E,2,T,5 vs 1,0.00018070,0.00007681
E,2,T,5 vs 2,0.00019958,0.00015025
E,2,T,5 vs 3,0.00019576,0.00012407
E,2,T,5 vs 4,0.00045974,0.00051629
E,1,T,1 vs 2,0.00021563,0.00015890
E,1,T,1 vs 3,0.00016881,0.00012587
E,1,T,1 vs 4,0.00018648,0.00016050
E,1,T,1 vs 5,0.00017351,0.00012965
E,1,T,2 vs 1,0.00020403,0.00015582
E,1,T,2 vs 3,0.00021465,0.00016191
E,1,T,2 vs 4,0.00018344,0.00014930
E,1,T,2 vs 5,0.00022514,0.00017375
E,1,T,3 vs 1,0.00018099,0.00014986
E,1,T,3 vs 2,0.00027269,0.00025257
E,1,T,3 vs 4,0.00024761,0.00027027
E,1,T,3 vs 5,0.00013429,0.00009207
E,1,T,4 vs 1,0.00018285,0.00010456
E,1,T,4 vs 2,0.00017240,0.00015199
E,1,T,4 vs 3,0.00017301,0.00009721
E,1,T,4 vs 5,0.00019284,0.00012137
E,1,T,5 vs 1,0.00018384,0.00014613
E,1,T,5 vs 2,0.00026475,0.00023648
E,1,T,5 vs 3,0.00013936,0.00009742
E,1,T,5 vs 4,0.00020267,0.00023409
E,3,T,1 vs 2,0.06226497,0.22843326
E,3,T,1 vs 3,0.04979165,0.16283970
E,3,T,1 vs 4,0.05212447,0.17483225
E,3,T,1 vs 5,0.10144190,0.26663121
E,3,T,2 vs 1,0.02816477,0.08703200
E,3,T,2 vs 3,0.03881577,0.12144242
E,3,T,2 vs 4,0.03430866,0.09389049
E,3,T,2 vs 5,0.06821860,0.18777422
E,3,T,3 vs 1,0.03005192,0.09439481
E,3,T,3 vs 2,0.05003073,0.19520626
E,3,T,3 vs 4,0.02474436,0.11163651
E,3,T,3 vs 5,0.07822457,0.23952012
E,3,T,4 vs 1,0.02592192,0.07929570
E,3,T,4 vs 2,0.03125103,0.13728251
E,3,T,4 vs 3,0.01511439,0.06064969
E,3,T,4 vs 5,0.06232759,0.20456590
E,3,T,5 vs 1,0.02288616,0.08169939
E,3,T,5 vs 2,0.02943196,0.13554537
E,3,T,5 vs 3,0.02481895,0.12369778
E,3,T,5 vs 4,0.01679244,0.06509546
E,4,T,1 vs 2,0.00022812,0.00016412
E,4,T,1 vs 3,0.00019633,0.00009924
E,4,T,1 vs 4,0.00022818,0.00013769
E,4,T,1 vs 5,0.00021855,0.00013941
E,4,T,2 vs 1,0.00019987,0.00015304
E,4,T,2 vs 3,0.00019991,0.00010577
E,4,T,2 vs 4,0.00024876,0.00011943
E,4,T,2 vs 5,0.00018785,0.00011350
E,4,T,3 vs 1,0.00017338,0.00014628
E,4,T,3 vs 2,0.00021863,0.00033684
E,4,T,3 vs 4,0.00020913,0.00011886
E,4,T,3 vs 5,0.00016158,0.00011814
E,4,T,4 vs 1,0.00016051,0.00013225
E,4,T,4 vs 2,0.00020017,0.00017049
E,4,T,4 vs 3,0.00015776,0.00006784
E,4,T,4 vs 5,0.00014579,0.00007950
E,4,T,5 vs 1,0.00017600,0.00012951
E,4,T,5 vs 2,0.00018995,0.00015737
E,4,T,5 vs 3,0.00014414,0.00009202
E,4,T,5 vs 4,0.00015575,0.00007695
E,6,T,1 vs 2,0.00015880,0.00015232
E,6,T,1 vs 3,0.00014418,0.00013784
E,6,T,1 vs 4,0.00017873,0.00018799
E,6,T,1 vs 5,0.00018354,0.00026981
E,6,T,2 vs 1,0.00020240,0.00023666
E,6,T,2 vs 3,0.00024086,0.00039113
E,6,T,2 vs 4,0.00025260,0.00025807
E,6,T,2 vs 5,0.00029158,0.00041889
E,6,T,3 vs 1,0.00017367,0.00017493
E,6,T,3 vs 2,0.00031453,0.00026666
E,6,T,3 vs 4,0.00023792,0.00025787
E,6,T,3 vs 5,0.00036819,0.00040910
E,6,T,4 vs 1,0.00015949,0.00011871
E,6,T,4 vs 2,0.00021624,0.00022214
