Trial 1 Timestamp,Trial 1 Force,Trial 2 Timestamp,Trial 2 Force,Trial 3 Timestamp,Trial 3 Force
57.37368988990784,6.63,58.6427948474884,-86.17,40.68730187416077,-94.35
58.479687452316284,25.45,59.749274253845215,16.74,41.7033154964447,-164.71
59.58490324020386,4.51,60.850956201553345,3.91,42.80417251586914,6.34
60.69125723838806,21.74,61.956995487213135,19.32,43.91117000579834,22.27
61.792449951171875,40.15,62.968584299087524,23.54,45.016387939453125,29.98
62.80812358856201,40.71,63.97943830490112,33.35,46.122172117233276,33.92
63.81989502906799,39.06,64.99569296836853,33.37,47.134477376937866,40.53
64.83146929740906,40.03,66.00709342956543,39.24,48.235461473464966,41.71
65.84395360946655,42.13,67.01934242248535,32.99,49.25148153305054,42.32
66.94881939888,41.71,68.12448573112488,36.16,50.26276707649231,41.56
68.05489826202393,41.67,69.13660907745361,41.57,51.36941480636597,43.92
69.06739330291748,39.49,70.14855766296387,42.16,52.3811469078064,42.57
70.07797980308533,42.0,71.16429281234741,40.67,53.391987800598145,40.71
71.18432760238647,40.83,72.2655553817749,42.13,54.49788498878479,43.96
72.1962320804596,39.92,73.28091192245483,44.82,55.6003098487854,42.74
73.21167063713074,40.58,74.29264378547668,40.88,56.705923318862915,40.81
74.2232677936554,-737.96,75.30498123168945,43.31,57.71808433532715,44.29
75.32963585853577,40.45,76.31652879714966,43.26,58.73356318473816,42.83
76.34132719039917,43.93,77.32842874526978,44.67,59.745205879211426,39.62
77.35285663604736,45.23,78.43395757675171,43.75,60.75630307197571,43.58
78.36469149589539,45.42,79.44533967971802,45.48,61.86275124549866,43.82
79.3805787563324,40.07,80.46162247657776,44.01,62.96466112136841,44.18
80.48186659812927,39.08,81.5634274482727,45.16,63.980287313461304,43.12
81.49766111373901,40.73,82.57926988601685,44.44,64.99137830734253,45.69
82.5091814994812,41.36,83.6810839176178,44.07,66.00378012657166,44.22
83.5204598903656,42.55,84.78710556030273,45.48,67.01490545272827,41.8
84.53297662734985,40.99,85.79790902137756,45.72,68.02667164802551,43.7
85.63833808898926,42.95,86.809725522995,43.8,69.04270315170288,43.88
86.65040421485901,44.74,87.8260748386383,43.02,70.14392185211182,43.18
87.6654326915741,39.64,88.92715287208557,43.35,71.1603741645813,43.53
88.67754483222961,39.84,89.94290900230408,44.6,72.17169380187988,42.77
89.77915740013123,41.51,91.04551553726196,45.55,73.27718091011047,43.95
90.7949767112732,42.73,92.06111240386963,44.56,74.37865209579468,43.44
91.89717102050781,40.24,93.16221976280212,45.29,75.39485788345337,41.14
93.00317597389221,39.0,94.17451572418213,42.08,76.4971969127655,40.4
